Id2,TRACT,BEDROOMS,meanBEDROOMS,totalHouseholds,meanHSize,totalFamilies,meanFamSize,totalAdults,married,neverMarried,totalHispanics,marriedHispanics,totalWhites,marriedWhites,workingMales,workingFemales,percent_nobachelor,percent_bachelor,percent_graduate,percent_bachelorPlus,percent_below_poverty,total_below_povertyPlus,households_1decile,households_2decile,households_3decile,households_4decile,households_5decile,households_6decile,households_7decile,households_8decile,households_9decile,households_topdecile,households_medianIncome,households_meanIncome,meanV
6037101110,1011.1,3778,2.150256118,1645,2.87,1181.0,3.37,3301.0,51.2,32.4,1244.0,47.5,2319.0,53.8,1411.0,1044.0,27.9,11.6,7.8,19.4,14.5,1962.0,3.7,4.7,13.1,12.4,15.6,15.7,10.9,15.6,5.7,2.5,50694.0,68938.0,5.784978757999999
6037101122,1011.22,4131,3.006550218,1218,2.7,928.0,3.1,2573.0,62.0,22.9,304.0,30.6,2175.0,63.6,1189.0,1066.0,27.6,17.9,9.2,27.2,2.7,246.0,4.8,0.0,4.2,2.8,6.2,9.8,17.7,27.9,13.7,13.0,107400.0,120490.0,5.881456777
6037101210,1012.1,3976,1.6833192209999999,2299,2.53,1216.0,3.51,4038.0,37.1,41.9,2434.0,34.5,2078.0,43.3,1956.0,1510.0,19.7,11.5,5.1,16.6,24.0,3270.0,9.3,9.8,7.7,16.5,22.2,15.4,6.3,8.4,1.0,3.4,39502.0,54481.0,5.499270281
6037101220,1012.2,2230,1.7754777069999998,1164,2.49,725.0,3.29,2241.0,55.8,25.9,509.0,70.9,1370.0,55.1,758.0,761.0,25.8,13.5,6.3,19.8,14.2,1092.0,9.3,9.9,9.0,12.8,18.3,18.1,9.9,7.4,3.4,2.0,41129.0,51880.0,5.654569311
6037101300,1013.0,4490,2.859872611,1535,2.84,1065.0,3.34,3542.0,54.3,31.5,365.0,51.2,3116.0,53.7,1134.0,1153.0,21.2,20.4,10.6,31.0,7.3,845.0,6.5,3.2,4.9,2.0,9.5,16.9,23.7,15.4,8.9,9.1,80890.0,90933.0,5.717316529
6037101400,1014.0,3841,2.489306546,1498,2.73,1069.0,3.28,2937.0,43.9,35.6,739.0,29.6,2379.0,50.3,1094.0,986.0,23.6,17.3,10.4,27.7,11.6,1469.0,5.3,7.4,8.5,15.0,8.3,18.0,15.5,8.9,9.7,3.4,60385.0,75420.0,5.782365183
6037102103,1021.03,1975,2.789548023,680,2.72,453.0,3.45,1486.0,50.2,32.5,322.0,49.1,1238.0,51.8,474.0,610.0,20.9,24.8,13.3,38.1,6.5,166.0,4.3,3.8,3.2,1.0,20.6,18.5,22.1,21.2,5.3,0.0,72222.0,76097.0,5.655133037000001
6037102104,1021.04,3759,2.8263157889999997,1294,2.51,916.0,3.09,2534.0,53.1,32.8,454.0,55.5,2092.0,56.3,865.0,1023.0,20.6,26.9,17.0,43.9,6.8,555.0,3.5,5.1,8.7,5.6,7.1,20.2,14.3,18.8,9.4,7.3,74878.0,90206.0,5.820786397000001
6037102105,1021.05,1326,2.298093588,577,3.37,452.0,3.7,1299.0,41.2,39.6,1088.0,36.0,381.0,47.5,600.0,508.0,24.3,13.5,2.5,16.1,17.7,778.0,1.0,5.0,5.4,24.3,18.5,9.9,14.0,15.8,3.3,2.8,46969.0,67755.0,5.757476828
6037102107,1021.07,4115,3.0549368969999997,1258,2.94,957.0,3.33,2967.0,44.0,36.2,833.0,37.6,1866.0,45.2,1149.0,851.0,33.3,23.2,5.5,28.7,14.1,1337.0,4.7,5.5,7.2,6.0,11.2,22.9,13.2,13.4,11.0,5.1,62857.0,80267.0,5.747955864
6037103102,1031.02,4283,2.4988331390000003,1620,3.0,1041.0,3.77,3488.0,45.7,38.0,988.0,46.2,2460.0,46.2,1260.0,1429.0,23.9,18.8,4.5,23.3,9.8,930.0,3.1,7.5,3.6,3.7,13.7,19.0,15.4,21.9,6.9,5.3,74318.0,82727.0,5.822023966000001
6037103200,1032.0,5477,2.4202386209999998,2173,2.76,1342.0,3.44,4842.0,42.0,33.4,1914.0,40.1,2815.0,43.8,1776.0,1143.0,22.1,16.3,7.7,24.1,16.4,2622.0,7.6,8.8,12.4,11.8,6.5,13.5,11.6,23.9,2.9,1.0,60474.0,65495.0,5.856158007
6037103300,1033.0,4408,3.1107974589999996,1204,2.72,799.0,3.16,2613.0,55.5,28.1,299.0,48.5,2340.0,56.1,981.0,857.0,24.5,30.1,11.7,41.8,18.6,823.0,3.2,3.8,2.6,4.6,16.8,14.9,11.6,10.2,13.0,19.3,85676.0,119199.0,5.7689717179999995
6037103400,1034.0,6175,2.4378207659999998,2399,2.74,1515.0,3.53,4899.0,49.6,31.7,1149.0,45.3,3580.0,48.8,1961.0,1989.0,32.7,19.6,6.8,26.5,12.7,1779.0,4.7,3.6,11.0,11.5,7.7,16.3,15.5,16.0,6.7,7.1,62487.0,83546.0,5.7832336579999994
6037104103,1041.03,2897,3.3883040939999995,790,4.93,689.0,5.22,2463.0,46.5,40.0,2287.0,45.3,216.0,38.0,1112.0,823.0,17.5,9.2,3.5,12.7,6.6,1589.0,1.5,1.4,3.5,9.0,10.9,25.9,19.5,20.6,7.0,0.6,71167.0,79120.0,5.902845323999999
6037104105,1041.05,3934,2.5364281109999998,1527,3.82,1341.0,4.05,3425.0,43.5,44.1,3452.0,41.5,346.0,39.6,1473.0,1204.0,14.3,10.8,5.6,16.4,26.7,3417.0,6.9,13.2,17.0,9.0,12.3,15.6,13.9,10.3,0.3,1.5,37792.0,50707.0,5.6197565879999996
6037104108,1041.08,3414,2.402533427,1358,3.62,950.0,4.38,2994.0,40.8,39.9,2935.0,45.3,187.0,31.0,1383.0,926.0,16.6,12.0,1.6,13.5,18.7,2901.0,7.9,9.6,12.0,7.8,18.5,24.3,8.4,10.5,1.0,0.0,45417.0,50046.0,5.803168602
6037104124,1041.24,3626,2.8915470489999997,1240,3.28,977.0,3.44,2969.0,50.1,35.9,1872.0,51.8,1163.0,43.5,1287.0,1016.0,26.2,23.6,6.7,30.3,11.2,1355.0,0.0,3.5,6.9,7.6,12.3,14.3,19.4,24.8,5.2,6.2,81935.0,87977.0,5.746320353
6037104203,1042.03,2945,2.689497717,1034,4.67,860.0,4.84,2709.0,47.6,42.4,3089.0,49.7,23.0,0.0,1537.0,1065.0,11.4,4.5,0.5,5.0,22.4,3053.0,3.6,7.3,12.1,15.9,11.7,29.1,10.5,8.7,1.2,0.0,49107.0,53390.0,5.73859083
6037104204,1042.04,2120,2.8191489360000004,704,4.13,592.0,4.33,2275.0,38.1,43.2,1907.0,41.1,357.0,17.6,878.0,625.0,14.3,7.3,3.2,10.5,28.8,1813.0,3.6,6.3,24.7,4.8,18.3,10.9,10.5,11.1,6.7,3.1,41364.0,61841.0,5.732484215
6037104310,1043.1,2878,3.101293103,858,6.01,793.0,5.58,3271.0,40.5,45.3,3644.0,42.4,46.0,65.2,1434.0,1040.0,8.9,3.9,0.6,4.5,21.5,2908.0,7.3,6.1,11.8,8.9,17.1,18.4,9.3,17.1,2.3,1.6,48529.0,61990.0,5.74051434
